Eczane Adı;İletişim No;Enlem;Boylam;Adres
AKİF DUMAN;0 - (332) 265 - 2268;37.950006;32.5051739;Yazır Mahallesi Topak Sokak No:6N
DUDU;0 - (332) 265 - 5556;37.9620617;32.497668;Yazır Mahallesi Elmalı Hamdi Yazır Caddesi No:19C
AKÇA;0 - (332) 261 - 0191;37.9969907;32.5267246;Kosova Mahallesi Veysel Karani Caddesi No:210H-210F
NİŞANTAŞI;0 - (332) 321 - 6111;37.8759851;32.4797364;Nişantaşı Mah. Şehit Ömer Taşer Sokak No:15B  15A
Ay Selim;0 - (332) 257 - 1122;37.888322;32.454835;Akşemsettin Mahallesi Şeyda Sokak No:7B
DİRİLİŞ;0 - (332) 263 - 1818;37.9749055;32.4955015;Beyhekim Mahallesi Büyükşehir Caddesi No:89C-1
ESRA YAVUZ;0 - (332) 248 - 4748;37.9574888;32.4986946;Şehit Ali Vasfi Güney Caddesi B Blok 13B
DURU;0 - (332) 502 - 1493;37.8848747;32.4660023;Şeker Mahallesi Şefik Can Caddesi No:49B
Saygılı;0 - (538) 264 - 3462;37.8746429;32.4931554;Kosava Mahallesi Veysel Karani Caddesi Toluhan Sitesi 2. Giriş No:116L-116K
TORUK;0 - (332) 234 - 0707;37.885838;32.490851;Feritpaşa Mahallesi Yük. Müh. Ümit Bahadırtürk Sokak No:28A
ESEN;0 - (332) 261 - 1453;37.9804999;32.5216722;Kosova Mahallesi Şerbetciler Sokak No: 8A
TORUN;0 - (332) 220 - 0015;37.8808922;32.491466;Feritpaşa Mahallesi Ulaşbaba caddesi 32B
ESRA AYHAN;0 - (332) 302 - 8636;37.884489;32.489908;Feritpaşa Mah. Yük. Müh. Ümit Bahadır Türk Sokak No: 20E
TUĞÇE BELVİRANLI;0 - (332) 236 - 4422;37.8847472;32.4786852;Hacıkaymak Mahallesi Hazerifen Ahmet Sokak No:7A
Limon;0 - (332) 237 - 4523;37.9107073;32.501731;Fatih Mahallesi Bülbüllü Sokak No:76
TUBA;0 - (332) 249 - 6868;37.9275921;32.5071312;Dumlupınar Mahallesi Lale Caddesi İstek Sokak No:4/6B
SELÇUKLU;0 - (332) 241 - 2055;38.013506;32.527256;Bosna Hersek Mahallesi Büyük Hizmet Caddesi Serince Sokak No:3-3A-3B
YENİ;0 - (332) 233 - 5584;37.882254;32.489353;Feritpaşa Mahallesi Nalçacı Caddesi No:23A
GÜREL;0 - (332) 255 - 5655;37.9508021;32.5274057;Sancak Mahallesi Gürkuyu Sokak No:2B
ULUKAPI;0 - (332) 235 - 3335;37.8807653;32.4905942;Ferhuniye Mahallesi Kadı Sıraceddin Sokak No:2B
TEVFİK YEKŞUN;0 - (332) 255 - 2025;37.958547;32.525464;Sancak Mahallesi Şule Sokak No:17B
SILA;0 - (332) 257 - 0696;37.8882224;32.4548403;Akşemsettin Mahallesi Koca Sinan Sokak No:11A
Narçiçeği;0 - (332) 247 - 8047;37.8883785;32.4545749;Akşemsettin Mahallesi Şeyda Sokak No:9B
BAŞKENT;0 - (332) 257 - 0207;37.8851113;32.4566758;Akşemsettin Mahallesi Saray Caddesi No:6G
Poyraz;0 - (332) 350 - 0070;37.8773897;32.4909255;Ferhuniye Mah. Mümtaz Koru Sokak No:7/A
BOTANİK;0 - (332) 408 - 3938;37.8872858;32.4670491;Kılınçarslan Mah. Adakale Cad. No:36A
BURCU;0 - (332) 240 - 0010;38.013125;32.530703;Bosna Hersek Mahallesi Kemerli Sokak No:11C
VATAN;0 - (332) 322 - 0045;37.8739033;32.4852799;İhsaniye Mahallesi Vatan Caddesi No:17C
ŞAFAK;0 - (332) 247 - 1364;37.9043237;32.458741;Akşemsettin Mahallesi Anadolu Caddesi No:9C
SENA YILMAZ;0 - (332) 503 - 3033;37.9782094;32.5138436;Yazır Mahallesi Batıhan Sok. No:6D
Zeybek;0 - (332) 248 - 3918;37.936284;32.510542;Cumhuriyet Mahhallesi Kandil Sokak  No:6B
Nar;0 - (332) 350 - 9350;37.883304;32.4647047;Şeker Mah. Turgutlu Sok No:1/A
Martı;0 - (554) 839 - 3155;37.879131;32.469844;Şeker Mah. Hocacihan Tekke Cad. No:54G
SİMYA;0 - (542) 307 - 1828;37.9749055;32.4955015;Beyhekim Mahallesi Büyükşehir Caddesi No:89/K
Nane Limon;0 - (538) 655 - 2629;37.9644012;32.4877632;Yazır Mahallesi Beyhekim Caddesi No:42H
İpek;0 - (332) 246 - 4651;37.9105265;32.472199;Mehmet Akif Mahallesi Seferhisar Caddesi No:33A
ANADOLU ZAFER;0 - (546) 692 - 6922;37.9406732;32.5201722;HOROZLUHAN MAHALLESİ GÜVEN CADDESİ NO:2A
AVİVA;0 - (537) 053 - 6585;37.885389;32.489691;Feritpaşa Mahallesi Y.Müh. Ümit Bahadırtürk Sokak No:23A
HELUN;0 - (537) 495 - 9474;37.8889514;32.4673559;Kılınçarslan Mahallesi Kurtuldu Sokak Adapark Sitesi A. Blok No:2D
TÜRKER;0 - (541) 585 - 2260;38.0091334;32.5224331;Bosna Hersek Mahallesi Osmanlı Caddesi 4F
BUKET;0 - (532) 770 - 7093;37.8746429;32.4931554;Şeker Mahallesi Şehit Ömer Halisdemir Caddesi A Blok 1. Giriş No:7G
PALMİYE;0 - (546) 506 - 4263;37.8784439;32.4688328;Selçuk Mahallesi Harzami Sokak No:7D
ELİF SEVDE;0 - (538) 884 - 0634;37.8746429;32.4931554;Şeker Mahallesi Şehit Ömer Halisdemir Caddesi B Blok 2. Giriş No:5A
ÖZ ŞAFAK;0 - (545) 795 - 1769;37.965897;32.516593;Sancak Mahallesi Sevenler Sokak No:8A
MAYIS;0 - (506) 888 - 3506;37.8567363;32.4989723;Şeyh Şamil Mahallesi Şehit Veli Karakoç Sokak No:2A
ZEYNEP YILMAZ;0 - (553) 052 - 5455;37.8782165;32.4689763;Selçuk Mahallesi Harzami Sokak A Blok No:7B
EYÜP SULTAN;0 - (546) 485 - 1673;37.936284;32.510542;Cumhuriyet Mahallesi Kandil Sokak No:6D
SENA ACAR;0 - (507) 330 - 3404;37.9447311;32.5017561;Şeyh Şamil Mahallesi Kapı Sokak Selçuklu Park Sitesi No:1B
LAVANTA;0 - (555) 148 - 2011;37.8848587;32.4786077;Hacıkaymak Mah. Hazarifenahmet Sok. No:5A
MALAZGİRT;0 - (507) 271 - 3490;37.9289943;32.4977559;Malazgirt Mahallesi Tuna Caddesi No: 2A
KELEBEK;0 - (506) 959 - 5373;37.8779208;32.4901076;Ferhuniye Mahallesi Hastane Caddesi Zirve İş Merkezi No:27E
TOPATAN;0 - (332) 351 - 7523;37.872203;32.4850706;İhsaniye Mahallesi Sultan Cem Caddesi Büyükceran Apt. No:4B
NİSAN;0 - (332) 352 - 8680;37.8898583;32.4993;Musalla Bağları Mahallesi Gülbahar Sokak No:5B
GÜNEŞ;0 - (505) 202 - 4252;37.879898;32.4453064;Hocacihan Mahallesi Beyşehir Caddesi A Blok 206A
ÖZDUR;0 - (554) 628 - 3583;37.9220522;32.4940502;Dumlupınar Mahallesi Şehitlik Caddesi No:9A
OTOGAR;0 - (507) 137 - 1513;37.8874349;32.4931172;Feritpaşa Mahallesi Gürağaç Sokak Arzum Sitesi No:5C
ASİYE;0 - (507) 957 - 0059;37.916382;32.498802;Sakarya Mahallesi Vezirhan Sokak No:29A
ÖZÇELİK;0 - (332) 245 - 0915;37.9121379;32.4912367;Hüsamettin Çelebi Mahallesi Akabe Caddesi No:19A
AYDOĞMUŞ;0 - (332) 502 - 7870;37.8859665;32.4438929;Hocacihan Mah. Şehit Ali Dığrak Cad. No:1G
FURKAN;0 - (332) 350 - 0397;37.9566736;32.5085897;Yazır Mahallesi Sultan Caddesi No:27N
ŞİMŞİR;0 - (552) 208 - 3594;37.8948323;32.451899;Akşemsettin Mah. Anadolu Cad. No:89D
TUĞÇE EKİCİ;0 - (332) 247 - 0222;37.8735398;32.4811752;Nişantaşı Mahallesi Yahya Çavuş Caddesi Basaralı Sitesi Başaralı Blok 7C
TUĞÇE MİNE;0 - (538) 265 - 2892;37.8989461;32.4853544;Bedir Mahallesi Sıvalı Sokak No:3A
AKŞEN;0 - (535) 286 - 6700;37.87742;32.48927;Ferhuniye Mahallesi Hastane Caddesi No:33B
NUREFŞAN;0 - (539) 940 - 8400;37.8799769;32.4740659;Şeker Mah. Fahri Kulu Caddesi A2 Blok No:7B
TÜTÜNCÜ;0 - (332) 260 - 0030;37.9369428;32.4918761;Buhara Mahallesi Abdülhamit Caddesi No:5D
GÜRSOY;0 - (544) 397 - 3278;37.8914308;32.4413004;Hocacihan Mah. Saray Cad. No:123D
YENİ MERVE;0 - (332) 247 - 1655;37.8851113;32.4566758;Akşemsettin Mahallesi Saray Caddesi No:6E
ORGANİK;0 - (541) 282 - 4527;37.9946139;32.514635;Beyhekim Mah. Fırat Cad. No:16F
ZÜHRE OLGUN;0 - (332) 245 - 1300;37.9107381;32.4751004;Mehmet Akif Mahallesi Fahri Efendi Caddesi No:8A
ELİT;0 - (332) 265 - 4032;37.947783;32.508735;Şeyh Şamil Mah. Doç. Dr. Halil Ürün Cad. 1. Kızılkaya İş Merkezi No:231
ADAPARK;0 - (544) 457 - 6279;37.971455;32.4921467;Yazır Mah. Beyhekim Cad. G Blok No:60
KAPTAN;0 - (507) 856 - 4387;37.8779208;32.4901076;Ferhuniye Mah. Darüşşifa Sok. Zirve İş Merkezi Altı No:1A
RAZİYE ÖZEN;0 - (530) 136 - 8843;37.9283176;32.5070411;Dumlupınar Mah. Lale Cad. No:3E
ÇAĞLAYAN;0 - (332) 248 - 0440;37.8746429;32.4931554;Kılıçarslan Mah. Adakale Cad. Adapark Sit. B Blok No:30F
VERESELİ BOSNA FATİH;0 - (332) 241 - 4156;38.0104823;32.523202;Bosna Hersek Mahallesi Osmanlı Caddesi No:3G
NESLİHAN;0 - (554) 123 - 8629;37.879929;32.491757;Ferhuniye Mahallesi Ulaşbaba Cad. No:17B
SETENAY;0 - (332) 261 - 1359;37.977746;32.514518;Yazır Mahallesi Batıhan Sok. No:5A-5B
FİRDEVS;0 - (332) 322 - 2000;37.874804;32.483708;Nişantaşı Mahallesi Yahya Çavuş Caddesi No:18A
AKINCILAR;0 - (332) 246 - 3547;37.9025985;32.4653886;Akıncılar Mahallesi Akıncılar Caddesi İttifak Sitesi No:1A
KURTAR;0 - (332) 409 - 8996;37.9167117;32.5007379;Sakarya Mahallesi Yalıdere Caddesi No:47A
NURLU;0 - (332) 255 - 4030;37.9748292;32.5023691;Beyhekim Mahallesi Büyükşehir Caddesi Ant İş Merkezi No:89H
FERDANE;0 - (538) 045 - 1505;37.928459;32.506042;Dumlupınar Mahallesi Lale Caddesi No:5H
EYLEM;0 - (535) 928 - 9587;37.8818015;32.4604079;Selçuk Mah. Kaide Sok. 1. Giriş No:6D
ŞEN;0 - (332) 353 - 4354;37.885389;32.489691;Feritpaşa Mahallesi Yüksek Mühendis Ümit Bahadırtürk Sokak No:23B
ERDOĞAN;0 - (332) 350 - 9521;37.8775959;32.4895489;Ferhuniye Mahallesi Hastane Caddesi No:31F
ÇEŞMELİ;0 - (332) 234 - 2363;37.8943842;32.4887885;Fatih Mahallesi Güldalı Sokak No:3A
DUYGU;0 - (332) 323 - 0605;37.87865;32.469926;Selçuk Mahallesi Harzami Sokak Yavuz Apartmanı No:12A
MELİKE;0 - (332) 261 - 2212;37.9798656;32.5226625;Kosova Mahallesi Ebru Sokak No:7J
SERHAT;0 - (332) 261 - 0106;38.0160383;32.4920088;Kosava Mahallesi Seher Sokak Karahan Sitesi No:11D
EVRAN;0 - (332) 323 - 0747;37.8770206;32.4842085;Nişantaş Mah. Kemerli Cad. Kemerli Apt. No: 5D
EFE;0 - (332) 255 - 5219;37.958292;32.524472;Sancak Mahallesi Şule Sokak Ihlamur Konutları No:17F
GÖNÜL;0 - (332) 248 - 9965;37.9799198;32.52123;Kosova Mahallesi Şerbetçiler Sokak No: 1D
NEFES;0 - (332) 251 - 3377;37.964777;32.5173344;Sancak Mahallesi Ünlüer Sokak A Blok 2. Giriş No:18F
SERGÜL;0 - (332) 255 - 3033;37.9800728;32.5212829;Kosova Mahallesi Şerbetçiler Sokak No:1E
ÖZDEMİR;0 - (332) 241 - 2255;37.9165235;32.4834355;Bosna Hersek Mahallesi Mesaj Caddesi Kızılkaya 2 İş Merkezi No:17C
GÜLİS;0 - (332) 249 - 2211;37.9311298;32.4913695;Buhara Mahallesi Abdülhamit Caddesi Ceylangözü Sokak No:5B
DEMET;0 - (332) 233 - 0013;37.904773;32.458438;Hanaybaşı Mahallesi Anadolu Caddesi No:4C
ERDEM;0 - (332) 323 - 6622;37.87843;32.4687883;Selçuk Mahallesi Harzami Sokak No:9A
YİĞİT;0 - (332) 851 - 2700;37.9894838;32.4907707;Beyhekim Mahallesi Turgut Özal Caddesi No:7AB
BOSNA HERSEK;0 - (332) 247 - 5780;37.89448;32.471648;Esenler Mahallesi Eski Sille Caddesi No:124B
ÖZCAN;0 - (332) 247 - 5090;37.89448;32.471648;Esenler Mahallesi Eski Sille Caddesi No:124C
MERVE;0 - (332) 236 - 5484;37.894477;32.488371;Fatih Mahallesi Güldalı Sokak No:5A
HEKİMOĞLU;0 - (332) 320 - 4774;37.870657;32.480247;İhsaniye Mahallesi Millet Caddesi No:23A-B
Özalkent;0 - (507) 842 - 0499;37.910669;32.476972;Mehmet Akif Mahallesi Demirhan Caddesi No:84B
AKASYA;0 - (538) 305 - 2080;37.9506138;32.4962621;Yazır Mahallesi Doç.Dr. Halil Ürün Caddesi M1 AVM No:22 İç Kapı No:19
SARAÇ;0 - (332) 246 - 6005;37.916733;32.49154;Hüsamettin Çelebi mahallesi Çamsakızı Sokak No:5A
MELEK;0 - (332) 248 - 9252;37.9502794;32.4919375;Parsana Mahallesi Beyhekim Caddesi Gönül Dostları Sit. No:5A
KARAAĞA;0 - (332) 351 - 4135;37.9108776;32.501809;Fatih Mahallesi Bülbüllü Sokak No:84
YAREN;0 - (332) 351 - 4978;37.8829002;32.4878098;Feritpaşa Mah. Rauf Denktaş Cad. No:8A
ULUÇINAR;0 - (332) 237 - 3500;37.8782353;32.4882877;Ferhuniye Mahallesi Hastane Cad. İktap Sokak No:7A
BARDAKCI;0 - (332) 320 - 2233;37.9447311;32.5017561;Şeyh Şamil Mahallesi Kapı Sokak Selçuklu Park No:1A
SİBEL;0 - (543) 420 - 5262;37.9777087;32.5148649;Yazır Mah. Batıhan Sok. No:3A-3B
Kekik;0 - (537) 288 - 0222;37.8889514;32.4673559;Kılınçarsaln Mah. Kurtuldu Sok. Adapark Sit. A Blok No: 2F
TUNA;0 - (332) 255 - 2150;37.9572932;32.5171679;Sancak Mahallesi Meftun Sokak A1 Giriş No:6D-6E
ODABAŞI;0 - (332) 237 - 5422;37.8746429;32.4931554;Sancak Mahallesi Şule Sokak Ihlamur Konutları A Blok No:17A
KUMRU;0 - (332) 247 - 4731;37.9037716;32.4584178;Akşemsettin Mahallesi Anadolu Caddesi No:17C
BEKTAŞ;0 - (332) 247 - 9447;37.888579;32.440807;Hocacihan Mah. Hicaz Cad. No:70A
BAHÇEŞEHİR;0 - (538) 330 - 9638;37.9620617;32.497668;Yazır Mah. Elmalılı Hamdi Yazır Cad. Florya B2 Giriş No:16E
GECE;0 - (332) 503 - 2010;37.9566736;32.5085897;Yazır Mah. Sultan Cad. No:27M
GÜLŞEN;0 - (533) 366 - 8864;37.891337;32.44129;Hocacihan Mah. Saray Cad. No: 123A
CANSU;0 - (332) 353 - 1535;37.877877;32.490212;Ferhuniye Mahallesi Hastane Caddesi No:27C
NADİR;0 - (332) 236 - 4020;37.893119;32.4965549;Musalla Bağları Mahallesi Gürz Sokak No:48-50
YENİ FAKÜLTE;0 - (332) 324 - 2343;37.891337;32.44129;Hocacihan Mahallesi Saray Caddesi No:123E
Marmara;0 - (552) 405 - 5040;37.8859665;32.4438929;Hocacihan Mah. Şehit Ali Dığrak Cad. No: 1AP
Hayat;0 - (505) 766 - 7303;37.8868498;32.4971848;Musalla Bağları Mah. Telgrafcı Hamdi Bey Cad. Hacıoğlu Apt. No: 4A
Meram Tıp;0 - (507) 077 - 4200;37.8859665;32.4438929;Hocacihan Mah. Şehit Ali Dığrak Cad. No: 1AO
BAHAR;0 - (505) 610 - 4733;37.9821464;32.4965989;Beyhekim Mah. Gülaçar Sok. A Blok No:15C
MELİS YALÇIN;0 - (532) 661 - 3064;37.8859665;32.4438929;Hocacihan Mah. Şehit Ali Dığrak Cad. No:1AK
EZGİ;0 - (543) 318 - 3686;37.9031049;32.4888474;Bedir Mah. Aday Sok. No:7C
ARSLANGİL;0 - (332) 341 - 1188;37.9109766;32.5018535;Fatih Mahallesi Bülbüllü Sokak No:88
FETİH;0 - (535) 689 - 3077;37.8777148;32.4913782;Ferhuniye Mahallesi Dr. Ziya Paşa Sokak No:6A
HASAN BAŞ;0 - (332) 246 - 0060;37.9105265;32.472199;Mehmet Akif Mahallesi Seferhisar Caddesi No: 29B
HALK;0 - (332) 245 - 9392;37.9093773;32.4762573;Mehmet Akif Mahallesi Hadimi Caddesi Selsebil Sokak No:10A
YENİ DERMAN;0 - (332) 582 - 1799;37.4298563;31.8363339;Alaylar Bir Mahallesi Atatürk Caddesi No:17B
SAĞLIK;0 - (332) 582 - 3438;37.4191661;31.8478193;Hacıseyitali Mahallesi Hürriyet Caddesi No:32A
KUTSAL;0 - (332) 582 - 1781;37.423908;31.85071;Hacıseyitali Mahallesi Atatürk Caddesi No:28A
YASİR;0 - (332) 582 - 5559;37.422811;31.8437403;Alaylar Bir  Mah. Milli egemanlik Cad. No:33/A
GONCA;0 - (332) 582 - 4655;37.4298563;31.8363339;Alaylar Bir  Mahallesi Atatürk Caddesi No:25B
HAYAT;0 - (332) 582 - 1241;37.4224114;31.8491446;Hacıseyitali Mahallesi Atatürk Caddesi No:14A
GÜVEN;0 - (332) 582 - 7060;37.4231077;31.8548378;Kızılcalar Mahallesi Mevlana Caddesi No:14A
KEVSER;0 - (332) 582 - 3572;37.4199749;31.8440407;Sofuhane Mahallesi Or.Prof. Sadi Irmak Caddesi No:15A
SEYİT HARUN;0 - (332) 582 - 6173;37.4190054;31.8498896;Ulukapı Mahallesi Necati Kalaycıoğlu Caddesi No:18A
ÖZKAYNAK;0 - (332) 582 - 0504;37.4224114;31.8491446;Hacı Seyit Ali Mahallesi Atatürk Caddesi No:6B
YÜCEL;0 - (332) 582 - 5641;37.4232014;31.845362;Haci Seyit Ali Mahallesi Milli Egemenlik Cad.No:19B
DENİZ;0 - (332) 582 - 8582;37.4217605;31.8449577;Hacıseyit Mahallesi Atatürk Caddesi No:40C
OLCAY;0 - (505) 345 - 7058;37.4190296;31.8500474;Ulukapı Mahallesi Necati Kalaycıoğlu Caddesi No:26A
BİCAN;0 - (332) 582 - 4717;37.423908;31.85071;Hacıseyitali Mahallesi Atatürk Caddesi No:30C
GÜRARSLAN;0 - (332) 582 - 5294;37.423265;31.8456085;Alaylar İki Mahallesi Milli Egemenlik Caddesi No:8A
DEVA;0 - (332) 582 - 4859;37.4198646;31.8455302;Hacıseyitali Mahallesi Hürriyet caddesi No:6D
TOROS;0 - (332) 582 - 6550;37.4196671;31.8461825;Hacıseyitali Mahallesi Hürriyet Caddesi No:5A
ELİF;0 - (332) 581 - 0562;37.3790997;32.08984;Alaylar Bir Mahallesi Mustafa Üstündağ Caddesi No:73/A
YENİ GÜL;0 - (332) 582 - 5221;37.4233528;31.845575;Alaylar İki Mah. Milli Egemenlik Cad. No:10A
YAŞAM;0 - (332) 582 - 3139;37.4194618;31.8472966;Hacı Seyit Ali Mahallesi Hürriyet Caddesi No:23C
YASİN;0 - (332) 322 - 4247;37.4089753;31.8434625;Stat mahallesi Cevher Dudayev Caddesi No:85A
SEYDİŞEHİR;0 - (332) 582 - 1717;37.4190589;31.8487804;Ulukapı Mahallesi Necati Kalaycıoğlu Caddesi No:4A
ZÜLAL;0 - (332) 582 - 9966;37.4192936;31.847373;Hacıseyitali Mahallesi Hürriyet Caddesi No:22A
AYVACI;0 - (332) 582 - 0977;37.4167847;31.846399;Alaylar İki  Mahallesi Seyyid Harun Veli Caddesi No:43B
ORTAKARAÖREN;0 - (332) 585 - 1225;37.404718;32.1348629;Ortakaraören Mahallesi Ortakaraören Caddesi No:105C
TAŞKENT;0 - (332) 497 - 1510;36.9245659;32.4946472;Şıhlar Mahallesi Vali İzzet Bey Caddesi No:105E
TUZLUKÇU;0 - (332) 861 - 2866;38.4755056;31.627379;Aşağı Mahallesi Akşehir Caddesi No:38
ELÇİN;0 - (332) 861 - 2747;38.47551;31.6273734;Pazar Mahallesi Akşehir Caddesi No: 43A
GÖKPINAR;0 - (332) 851 - 3595;38.8216409;31.7251233;Karataş Mahallesi Uzun Caddesi No:105B
KURTOĞLU;0 - (332) 851 - 2115;38.8119365;31.7340162;Yeni Mahalle bademlik Caddesi No:6B
BİZİM;0 - (332) 851 - 2300;38.81949;31.730198;Yeni Mahalle Hükümet caddesi No:73A
YUNAK;0 - (332) 851 - 2378;38.8185443;31.7313556;Yeni Mahalle Hükümet Caddesi No:65
ÖZ SAĞLIK;0 - (332) 851 - 0307;38.8158062;31.7361974;YENİ MH. ANKARA CD. NO:711 YUNAK/KONYA
TAŞKIN;0 - (534) 499 - 9282;38.813456;31.735652;Yeni Mahalle 169004 Sokak No:46
